title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
Planet Earth II,,9.5,Documentary,2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Gordon Buchanan,Chadden Hunter",TV-G,"United Kingdom,Germany,France,China,United States","English,French",4h 58m,6,298
Breaking Bad,,9.5,"Crime,Drama,Thriller",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",TV-MA,United States,"English,Spanish",49m,62,3038
Planet Earth,,9.4,Documentary,2006,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.","Sigourney Weaver,David Attenborough,Nikolay Drozdov",TV-PG,United Kingdom,English,8h 58m,11,538
Band of Brothers,,9.4,"Drama,History,War",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston",TV-MA,"United Kingdom,United States","English,Dutch,French,German,Lithuanian",9h 54m,10,594
Regular Show,,8.5,"Animation,Action,Adventure",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin",TV-PG,United States,English,23m,245,5635
Jujutsu Kaisen,,8.5,"Animation,Action,Adventure",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Adam McArthur,Yûichi Nakamura",TV-MA,Japan,Japanese,24m,25,600
Community,,8.5,Comedy,2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Dan Harmon,Joel McHale,Danny Pudi,Donald Glover",TV-14,United States,English,22m,110,2420
The Expanse,,8.5,"Drama,Mystery,Sci-Fi",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Daniel Abraham,Mark Fergus,Ty Franck,Steven Strait,Dominique Tipper,Wes Chatham",TV-14,United States,English,1h,62,60
The Defiant Ones,,8.5,"Documentary,Biography,Crime",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stevie Nicks,Bono,Tom Petty",TV-MA,United States,English,1h,4,60
It's Okay to Not Be Okay,Original title: Saikojiman Gwaenchanha,8.6,"Comedy,Drama,Romance",2020,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"Kim Soo-hyun,Seo Ye-Ji,Oh Jung-se",TV-MA,South Korea,Korean,1h 20m,16,80
Black Books,,8.5,Comedy,2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Dylan Moran,Dylan Moran,Bill Bailey,Tamsin Greig",TV-PG,United Kingdom,English,25m,18,450
Gintama,,8.7,"Animation,Action,Comedy",2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya",TV-14,Japan,Japanese,25m,375,9375
Foyle's War,,8.6,"Crime,Drama,Mystery",2002–2015,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks,Anthony Howell",TV-14,United Kingdom,English,1h 30m,28,90
The Knick,,8.5,"Drama,History",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Jack Amiel,Michael Begler,André Holland,Clive Owen,Jeremy Bobb",TV-MA,United States,"English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish",58m,21,1218
Big Little Lies,,8.5,"Crime,Drama,Mystery",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"David E. Kelley,Reese Witherspoon,Nicole Kidman,Shailene Woodley",TV-MA,United States,English,1h,14,60
Southland,,8.5,"Crime,Drama,Thriller",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,"Ann Biderman,Michael Cudlitz,Shawn Hatosy,Regina King",TV-MA,United States,"English,Spanish",42m,43,1806
Avrupa Yakasi,,8.6,Comedy,2004–2009,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"Gülse Birsel,Levent Üzümcü,Senay Gürler",,Turkey,Turkish,,190,
Your Lie in April,Original title: Shigatsu wa kimi no uso,8.6,"Animation,Comedy,Drama",2014–2018,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Natsuki Hanae,Risa Taneda,Ayane Sakura",TV-PG,Japan,Japanese,23m,24,552
Alfred Hitchcock Presents,,8.5,"Comedy,Crime,Drama",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Alfred Hitchcock,Harry Tyler,John Williams",TV-14,United States,English,25m,268,6700
The Night Of,,8.5,"Crime,Drama,Mystery",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Richard Price,Steven Zaillian,Riz Ahmed,John Turturro,Bill Camp",TV-MA,United States,English,8h 45m,8,525
The Angry Video Game Nerd,,8.5,Comedy,2004– ,A foul-mouthed nerd reviews bad video games.,"James Rolfe,James Rolfe,Mike Matei,Kyle Rogers",TV-MA,United States,"English,Spanish",35m,248,8680
Derry Girls,,8.5,Comedy,2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",TV-MA,United Kingdom,English,30m,19,570
Generation Kill,,8.5,"Drama,War",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Alexander Skarsgård,James Ransone,Lee Tergesen",TV-MA,"United States,United Kingdom",English,1h 10m,7,70
Wentworth,,8.6,"Crime,Drama,Thriller",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Reg Watson,Lara Radulovich,Kate Atkinson,Katrina Milosevic,Robbie Magasiva",TV-MA,Australia,English,45m,100,4500
My Brilliant Friend,Original title: L'amica geniale,8.6,Drama,2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",TV-MA,"Italy,United States","Italian,Neapolitan",1h,25,60
Chef's Table,,8.5,Documentary,2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Bill Buford,Massimo Bottura,Francis Mallmann",TV-MA,United States,English,50m,30,1500
Cobra Kai,,8.5,"Action,Comedy,Drama",2018–2023,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Josh Heald,Jon Hurwitz,Hayden Schlossberg,Ralph Macchio,William Zabka,Courtney Henggeler",TV-14,United States,"English,Spanish",30m,51,1530
Umbre,,8.7,"Crime,Drama,Thriller",2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Serban Pavlu,Maria Obretin,Andreea Vasile",TV-MA,Romania,"Romanian,Spanish,English,Ukrainian",45m,21,945
Hannibal,,8.5,"Crime,Drama,Horror",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Bryan Fuller,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas",TV-MA,United States,English,44m,39,1716
Schitt's Creek,,8.5,Comedy,2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","Dan Levy,Eugene Levy,Eugene Levy,Catherine O'Hara,Dan Levy",TV-14,"Canada,United States",English,22m,80,1760
Happy Valley,,8.5,"Crime,Drama,Thriller",2014–2023,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"Sally Wainwright,Sarah Lancashire,Siobhan Finneran,James Norton",TV-MA,United Kingdom,English,58m,18,1044
Rocket Boys,,8.9,"Drama,History",2022– ,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","Nikkhil Advani,Jim Sarbh,Saba Azad,Regina Cassandra",,India,Hindi,,16,
Rurouni Kenshin: Trust and Betrayal,Original title: Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,8.6,"Animation,Action,Adventure",1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",TV-MA,Japan,Japanese,1h 58m,4,118
From the Earth to the Moon,,8.6,"Action,Drama,History",1998,Dramatized portrayal of the Apollo manned space program.,"Tom Hanks,Nick Searcy,Lane Smith",TV-14,United States,English,1h,12,60
Futurama,,8.5,"Animation,Adventure,Comedy",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","David X. Cohen,Matt Groening,Billy West,John DiMaggio,Katey Sagal",TV-14,United States,English,22m,150,3300
Spartacus: Gods of the Arena,,8.5,"Action,Adventure,Biography",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","Steven S. DeKnight,John Hannah,Manu Bennett,Peter Mensah",TV-MA,United States,"English,Assyrian Neo-Aramaic",5h 31m,6,331
Silicon Valley,,8.5,Comedy,2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","John Altschuler,Mike Judge,Dave Krinsky,Thomas Middleditch,T.J. Miller,Josh Brener",TV-MA,United States,English,28m,53,1484
Fullmetal Alchemist,Original title: Hagane no renkinjutsushi,8.5,"Animation,Action,Adventure",2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","Vic Mignogna,Aaron Dismuke,Romi Park",TV-PG,"Japan,Poland",Japanese,24m,51,1224
Mr Inbetween,,8.6,"Crime,Drama",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.","Scott Ryan,Scott Ryan,Chika Yasumura,Justin Rosniak",TV-MA,Australia,English,30m,26,780
Doctor Who,,8.6,"Adventure,Drama,Sci-Fi",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Sydney Newman,Jodie Whittaker,Peter Capaldi,Pearl Mackie",TV-PG,"United Kingdom,United States",English,45m,203,9135
Twin Peaks,,8.5,"Crime,Drama,Horror",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Mark Frost,David Lynch,Kyle MacLachlan,Sheryl Lee,Michael Horse",TV-MA,United States,"English,French",1h,18,60
Skam,,8.6,"Drama,Romance",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Julie Andem,Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",Not Rated,Norway,Norwegian,30m,43,1290
Westworld,,8.5,"Drama,Mystery,Sci-Fi",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.","Lisa Joy,Jonathan Nolan,Evan Rachel Wood,Jeffrey Wright,Ed Harris",TV-MA,United States,English,1h 2m,36,62
North & South,,8.6,"Drama,Romance",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",TV-PG,United Kingdom,English,3h 55m,4,235
Trailer Park Boys,,8.6,"Comedy,Crime",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,"Mike Clattenburg,John Paul Tremblay,Robb Wells,Mike Smith",TV-MA,Canada,English,30m,106,3180
Brass Eye,,8.6,Comedy,1997–2001,"Controversal spoof of current affairs television, and the role of celebrity in the UK.","Christopher Morris,Mark Heap,Kevin Eldon",TV-MA,United Kingdom,English,25m,7,175
Neon Genesis Evangelion,Original title: Shin seiki evangerion,8.5,"Animation,Action,Drama",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",TV-MA,Japan,"Japanese,German",24m,26,624
Extraordinary Attorney Woo,Original title: I-sang-han byeon-ho-sa U-yeong-u,8.7,Drama,2022,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.","Park Eun-bin,Kang Tae-oh,Kang Ki-young",TV-14,South Korea,Korean,1h 15m,16,75
Sons of Anarchy,,8.6,"Crime,Drama,Thriller",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Kurt Sutter,Charlie Hunnam,Katey Sagal,Mark Boone Junior",TV-MA,United States,English,45m,92,4140
Detectorists,,8.6,Comedy,2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook,Mackenzie Crook,Toby Jones,Rachael Stirling",TV-14,United Kingdom,English,30m,20,600
Endeavour,,8.6,"Crime,Drama,Mystery",2012–2023,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans,Roger Allam,James Bradshaw",TV-14,United Kingdom,English,1h 29m,36,89
Shameless,,8.6,"Comedy,Drama",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Paul Abbott,John Wells,Emmy Rossum,William H. Macy,Ethan Cutkosky",TV-MA,United States,English,46m,134,6164
Spartacus,Original title: Spartacus: Blood and Sand,8.5,"Action,Adventure,Biography",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Steven S. DeKnight,Andy Whitfield,Lucy Lawless,Manu Bennett",TV-MA,United States,"English,German",55m,34,1870
Mob Psycho 100,,8.6,"Animation,Action,Comedy",2016–2022,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Setsuo Ito,Takahiro Sakurai,Chris Niosi",TV-14,Japan,Japanese,24m,37,888
Ezel,,8.7,"Crime,Drama,Thriller",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",TV-14,Turkey,Turkish,1h 30m,71,90
Samurai Jack,,8.5,"Animation,Action,Adventure",2001–2017,"A samurai, sent through time, fights to return home and save the world.","Genndy Tartakovsky,Phil LaMarr,Mako,Kevin Michael Richardson",TV-MA,United States,English,25m,62,1550
Letterkenny,,8.7,Comedy,2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Jared Keeso,Jacob Tierney,Jared Keeso,Nathan Dales,Michelle Mylett",TV-MA,Canada,English,30m,75,2250
Through the Wormhole,,8.6,Documentary,2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ..., ","Morgan Freeman,Sean Carroll,Michio Kaku",TV-PG,United States,English,1h,62,60
Whose Line Is It Anyway?,,8.5,"Comedy,Game-Show",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"Mark Leveson,Dan Patterson,Drew Carey,Colin Mochrie,Ryan Stiles",TV-PG,"United States,United Kingdom",English,30m,220,6600
The Office,,8.5,"Comedy,Drama",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Ricky Gervais,Stephen Merchant,Ricky Gervais,Martin Freeman,Mackenzie Crook",TV-MA,United Kingdom,English,30m,14,420
The Rehearsal,,8.6,"Documentary,Comedy",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,"Nathan Fielder,Nathan Fielder,Journey Baker,Anna Lamadrid",TV-MA,United States,English,30m,7,210
Louie,,8.5,"Comedy,Drama",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.","Louis C.K.,Louis C.K.,Hadley Delany,Ursula Parker",TV-MA,United States,English,22m,61,1342
I'm Alan Partridge,,8.6,Comedy,1997–2002,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.","Steve Coogan,Simon Greenall,Felicity Montagu",TV-MA,United Kingdom,"English,German,French",29m,12,348
The Family Man,,8.7,"Action,Comedy,Drama",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Krishna D.K.,Raj Nidimoru,Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani",TV-14,India,Hindi,45m,20,900
Mr. Robot,,8.5,"Crime,Drama,Thriller",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Sam Esmail,Rami Malek,Christian Slater,Carly Chaikin",TV-MA,United States,"English,Swedish,Danish,Chinese,Persian,Spanish,Samoan,Arabic,German",49m,45,2205
The IT Crowd,,8.5,Comedy,2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd,Richard Ayoade,Katherine Parkinson",TV-14,United Kingdom,English,25m,25,625
Samurai Champloo,Original title: Samurai chanpurû,8.6,"Animation,Action,Adventure",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi",TV-MA,Japan,Japanese,24m,26,624
"Yes, Prime Minister",,8.6,Comedy,1986–1987,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"Paul Eddington,Nigel Hawthorne,Derek Fowlds",TV-PG,United Kingdom,English,30m,16,480
Long Way Round,,8.6,"Documentary,Adventure",2004–2010,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.","David Alexanian,Charley Boorman,Russ Malkin,Ewan McGregor,Charley Boorman,David Alexanian",TV-PG,United Kingdom,English,5h 15m,10,315
What We Do in the Shadows,,8.6,"Comedy,Fantasy,Horror",2019– ,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,"Jemaine Clement,Kayvan Novak,Matt Berry,Natasia Demetriou",TV-MA,United States,English,30m,42,1260
Formula 1: Drive to Survive,,8.6,"Documentary,Sport",2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Will Buxton,Jack Nicholls,Daniel Ricciardo",TV-MA,United Kingdom,"Arabic,English",40m,51,2040
Black Sun,Original title: Senke nad Balkanom,8.9,"Crime,Drama,Thriller",2017– ,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Dragan Bjelogrlic,Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic",TV-MA,Serbia,"Serbian,Russian,Macedonian,German,Slovenian",1h,20,60
Spaced,,8.6,"Action,Comedy",1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","Simon Pegg,Jessica Hynes,Julia Deakin",TV-14,United Kingdom,English,25m,14,350
Impractical Jokers,,8.6,"Comedy,Reality-TV",2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","James Murray,Brian Quinn,Sal Vulcano",TV-14,United States,English,30m,277,8310
The Bureau,Original title: Le Bureau des Légendes,8.7,"Drama,Thriller",2015– ,,"Eric Rochant,Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï",TV-MA,France,"French,Arabic,English,Persian,Russian,Italian",52m,50,2600
Coupling,,8.6,"Comedy,Romance",2000–2004,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Jack Davenport,Gina Bellman,Sarah Alexander",TV-14,United Kingdom,English,30m,28,840
The Venture Bros.,,8.6,"Animation,Action,Adventure",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","Christopher McCulloch,Christopher McCulloch,James Urbaniak,Doc Hammer",TV-14,United States,English,22m,86,1892
Battlestar Galactica,,8.5,"Action,Adventure,Drama",2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Edward James Olmos,Mary McDonnell,Katee Sackhoff",TV-14,United States,English,3h 3m,2,183
Dragon Ball,,8.6,"Animation,Action,Adventure",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Brice Armstrong,Steve Olson,Stephanie Nadolny",TV-14,Japan,Japanese,24m,153,3672
El Chavo del Ocho,,8.7,"Comedy,Family",1972–1983,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.","Roberto Gómez Bolaños,Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños",TV-PG,Mexico,,30m,357,10710
Dragon Ball,Original title: Dragon Ball: Doragon bôru,8.6,"Animation,Action,Adventure",1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Masako Nozawa,Jôji Yanami,Brice Armstrong",TV-14,Japan,Japanese,25m,153,3825
Flight of the Conchords,,8.6,"Comedy,Music,Musical",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","James Bobin,Jemaine Clement,Bret McKenzie,Jemaine Clement,Bret McKenzie,Rhys Darby",TV-MA,"United States,New Zealand",English,28m,22,616
Homicide: Life on the Street,,8.7,"Crime,Drama,Mystery",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,"Paul Attanasio,Richard Belzer,Clark Johnson,Yaphet Kotto",TV-14,United States,English,1h,122,60
Justice League,,8.6,"Animation,Action,Adventure",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,"Bob Kane,William Moulton Marston,Joe Shuster,Carl Lumbly,Phil LaMarr,Michael Rosenbaum",TV-PG,United States,English,22m,52,1144
The Queen's Gambit,,8.6,Drama,2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Scott Frank,Allan Scott,Anya Taylor-Joy,Chloe Pirrie,Bill Camp",TV-MA,United States,"English,French,Spanish,Russian",1h,7,60
The Eric Andre Show,,8.6,"Comedy,Talk-Show",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Eric André,Eric André,Hannibal Buress,Tom Ato",TV-MA,United States,English,11m,60,660
The Haunting of Hill House,,8.6,"Drama,Horror,Mystery",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Mike Flanagan,Michiel Huisman,Carla Gugino,Henry Thomas",TV-MA,United States,English,9h 32m,10,572
The Bugs Bunny Show,,8.6,"Animation,Comedy",1960–1975,TV series featuring the classic Looney Tunes animated shorts.,"Mel Blanc,June Foray,Daws Butler",TV-G,United States,English,30m,78,2340
Crash Landing on You,Original title: Sa-rang-eui bul-shi-chak,8.7,"Adventure,Comedy,Romance",2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin,Son Ye-jin,Seo Ji-hye",TV-14,South Korea,Korean,1h 10m,19,70
The Newsroom,,8.6,Drama,2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","Aaron Sorkin,Jeff Daniels,Emily Mortimer,John Gallagher Jr.",TV-MA,United States,English,55m,25,1375
Making a Murderer,,8.6,"Documentary,Crime",2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Steven Avery,Dolores Avery,Laura Nirider",TV-14,United States,English,1h,20,60
Boardwalk Empire,,8.6,"Crime,Drama",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Terence Winter,Steve Buscemi,Kelly Macdonald,Michael Shannon",TV-MA,United States,English,55m,56,3080
Justified,,8.6,"Action,Crime,Drama",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","Graham Yost,Timothy Olyphant,Nick Searcy,Joelle Carter",TV-MA,United States,English,44m,78,3432
Pose,,8.6,Drama,2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.","Steven Canals,Brad Falchuk,Ryan Murphy,Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore",TV-MA,United States,English,1h,26,60
Yes Minister,,8.7,Comedy,1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.","Paul Eddington,Nigel Hawthorne,Derek Fowlds",TV-PG,United Kingdom,English,30m,22,660
QI,,8.6,"Comedy,Game-Show",2003– ,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Alan Davies,Stephen Fry,Sandi Toksvig",TV-PG,United Kingdom,English,30m,324,9720
Poirot,,8.6,"Crime,Drama,Mystery",1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","David Suchet,Hugh Fraser,Philip Jackson",TV-14,United Kingdom,"English,French",1h 40m,70,100
Dopesick,,8.6,Drama,2021,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Danny Strong,Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg",TV-MA,United States,English,8h 12m,8,492
