title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
South Park,,8.7,"Animation,Comedy",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker,Matt Stone,Brian Graden,Trey Parker,Matt Stone,Isaac Hayes",TV-14,United States,English,22m,330,7260
"I, Claudius",,8.8,"Biography,Drama,History",1976,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Derek Jacobi,John Hurt,Siân Phillips",Not Rated,United Kingdom,"English,German",11h 9m,13,669
Dragon Ball Z,Original title: Dragon Ball Z: Doragon bôru zetto,8.8,"Animation,Action,Adventure",1989–1996,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Jôji Yanami,Kyle Hebert,Masako Nozawa",TV-PG,Japan,Japanese,24m,291,6984
One Piece,Original title: One Piece: Wan pîsu,8.9,"Animation,Action,Adventure",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Eiichirô Oda,Mayumi Tanaka,Laurent Vernin,Tony Beck",TV-14,Japan,Japanese,24m,1064,25536
Chappelle's Show,,8.8,"Comedy,Music",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Neal Brennan,Dave Chappelle,Dave Chappelle,Donnell Rawlings,Rudy Rush",TV-MA,United States,English,22m,33,726
Dragon Ball Z,,8.8,"Animation,Action,Adventure",1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil",TV-PG,"Japan,United States,Canada","Japanese,English",24m,277,6648
Narcos,,8.8,"Biography,Crime,Drama",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Carlo Bernard,Chris Brancato,Doug Miro,Pedro Pascal,Wagner Moura,Boyd Holbrook",TV-MA,"United States,Colombia","English,Spanish",49m,30,1470
Black Mirror,,8.8,"Drama,Mystery,Sci-Fi",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Charlie Brooker,Daniel Lapaine,Hannah John-Kamen,Michaela Coel",TV-MA,"United Kingdom,United States",English,1h,23,60
BoJack Horseman,,8.8,"Animation,Comedy,Drama",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Raphael Bob-Waksberg,Will Arnett,Amy Sedaris,Alison Brie",TV-MA,United States,English,25m,77,1925
Twin Peaks,,8.8,"Crime,Drama,Mystery",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Mark Frost,David Lynch,Kyle MacLachlan,Michael Ontkean,Mädchen Amick",TV-MA,United States,"English,Icelandic,Afrikaans,Norwegian",47m,30,1410
